Latitude,Longitude,median_U,median_V
16.1182,-66.7097,-0.3,-0.1
16.1182,-66.5425,-0.26,-0.16
16.1721,-66.7097,-0.24,-0.11
16.1721,-66.5425,-0.255,-0.15
16.1721,-66.3752,-0.29,-0.21
16.2261,-66.9326,-0.13,-0.08
16.2261,-66.7097,-0.2,-0.11
16.2261,-66.5425,-0.23,-0.16
16.2261,-66.3752,-0.25,-0.2
16.2261,-66.3195,-0.255,-0.2
16.2261,-66.2638,-0.22,-0.20500000000000002
16.28,-67.0441,-0.15,-0.02
16.28,-66.8212,-0.15,-0.1
16.28,-66.7097,-0.19,-0.12
16.28,-66.6539,-0.26,-0.115
16.28,-66.5982,-0.175,-0.15
16.28,-66.5425,-0.225,-0.17
16.28,-66.4867,-0.21,-0.165
16.28,-66.431,-0.17,-0.17
16.28,-66.3195,-0.21,-0.19
16.334,-67.0441,-0.13,-0.04
16.334,-66.9884,-0.24,-0.18
16.334,-66.8212,-0.12,-0.11
16.334,-66.7654,-0.12,-0.1
16.334,-66.6539,-0.13,-0.14
16.334,-66.5982,-0.13,-0.15
16.334,-66.4867,-0.15,-0.17
16.334,-66.431,-0.155,-0.17
16.334,-66.3195,-0.16,-0.2
16.334,-66.2638,-0.165,-0.2
16.334,-66.0408,-0.04,-0.12
16.334,-65.9851,-0.04,-0.12
16.3879,-67.2113,-0.07,-0.02
16.3879,-67.0441,-0.11,-0.05
16.3879,-66.9884,-0.11,-0.07
16.3879,-66.9326,-0.08,-0.08
16.3879,-66.8212,-0.13,-0.11
16.3879,-66.7654,-0.12,-0.11
16.3879,-66.7097,-0.22,-0.09
16.3879,-66.6539,-0.11,-0.14
16.3879,-66.5982,-0.13,-0.14
16.3879,-66.5425,-0.315,-0.09
16.3879,-66.4867,-0.14,-0.17
16.3879,-66.431,-0.13,-0.17
16.3879,-66.3752,-0.18,-0.19
16.3879,-66.3195,-0.13,-0.19
16.3879,-66.2638,-0.14,-0.2
16.3879,-66.208,-0.13,-0.19
16.3879,-66.1523,-0.1,-0.17
16.3879,-66.0965,-0.09,-0.175
16.3879,-66.0408,-0.04,-0.1
16.4418,-67.2113,-0.06,-0.02
16.4418,-67.0441,-0.13,-0.06
16.4418,-66.9884,-0.1,-0.09
16.4418,-66.9326,-0.08,-0.09
16.4418,-66.8769,-0.12,-0.09
16.4418,-66.8212,-0.13,-0.11
16.4418,-66.7654,-0.12,-0.11499999999999999
16.4418,-66.7097,-0.1,-0.12
16.4418,-66.6539,-0.12,-0.13
16.4418,-66.5982,-0.11,-0.13
16.4418,-66.5425,-0.1,-0.14
16.4418,-66.4867,-0.14,-0.16
16.4418,-66.431,-0.13,-0.16
16.4418,-66.3752,-0.09,-0.16
16.4418,-66.3195,-0.09,-0.17
16.4418,-66.2638,-0.13,-0.19
16.4418,-66.208,-0.04,-0.14
16.4418,-66.1523,-0.065,-0.15
16.4418,-66.0965,-0.05,-0.15
16.4418,-66.0408,0.02,-0.08
16.4418,-65.9851,-0.01,-0.07
16.4418,-65.9293,0.03,-0.035
16.4418,-65.8736,0.09,0.0
16.4958,-67.3228,-0.02,-0.01
16.4958,-67.1556,-0.07,-0.03
16.4958,-67.0999,-0.05,-0.08
16.4958,-67.0441,-0.08,-0.07
16.4958,-66.9884,-0.11,-0.1
16.4958,-66.9326,-0.11,-0.1
16.4958,-66.8769,-0.09,-0.11
16.4958,-66.8212,-0.13,-0.1
16.4958,-66.7654,-0.12,-0.11
16.4958,-66.7097,-0.1,-0.12
16.4958,-66.6539,-0.09,-0.12
16.4958,-66.5982,-0.11,-0.13
16.4958,-66.5425,-0.09,-0.14
16.4958,-66.4867,-0.1,-0.14
16.4958,-66.431,-0.14,-0.15
16.4958,-66.3752,-0.08,-0.15
16.4958,-66.3195,-0.07,-0.16
16.4958,-66.2638,-0.1,-0.17
16.4958,-66.208,-0.03,-0.14
16.4958,-66.1523,-0.025,-0.13
16.4958,-66.0965,-0.05,-0.14
16.4958,-66.0408,0.02,-0.07
16.4958,-65.9851,0.01,-0.055
16.4958,-65.9293,0.05,-0.04
16.4958,-65.8736,0.1,0.02
16.5497,-67.3786,-0.02,0.0
16.5497,-67.3228,-0.02,-0.03
16.5497,-67.2671,-0.03,-0.03
16.5497,-67.2113,-0.085,-0.01
16.5497,-67.1556,-0.09,-0.04
16.5497,-67.0999,-0.07,-0.05
16.5497,-67.0441,-0.08,-0.07
16.5497,-66.9884,-0.08499999999999999,-0.09
16.5497,-66.9326,-0.1,-0.09
16.5497,-66.8769,-0.08,-0.1
16.5497,-66.8212,-0.09,-0.1
16.5497,-66.7654,-0.12,-0.11
16.5497,-66.7097,-0.09,-0.12
16.5497,-66.6539,-0.09,-0.12
16.5497,-66.5982,-0.1,-0.12
16.5497,-66.5425,-0.09,-0.14
16.5497,-66.4867,-0.1,-0.14
16.5497,-66.431,-0.08,-0.13
16.5497,-66.3752,-0.08,-0.14
16.5497,-66.3195,-0.07,-0.15
16.5497,-66.2638,-0.04,-0.13
16.5497,-66.208,-0.02,-0.12
16.5497,-66.1523,0.0,-0.11
16.5497,-66.0965,0.01,-0.1
16.5497,-66.0408,-0.02,-0.07500000000000001
16.5497,-65.9851,0.03,-0.03
16.5497,-65.9293,0.06,-0.01
16.5497,-65.8736,0.08,0.01
16.5497,-65.8178,0.04,0.05
16.5497,-65.7621,0.15,0.1
16.6037,-67.49,0.03,0.01
16.6037,-67.3228,-0.03,-0.03
16.6037,-67.2671,-0.05,-0.03
16.6037,-67.2113,-0.04,-0.03
16.6037,-67.1556,-0.095,-0.025
16.6037,-67.0999,-0.1,-0.06
16.6037,-67.0441,-0.09,-0.06
16.6037,-66.9884,-0.08,-0.08
16.6037,-66.8769,-0.08,-0.1
16.6037,-66.8212,-0.07500000000000001,-0.1
16.6037,-66.7654,-0.08,-0.10500000000000001
16.6037,-66.7097,-0.08,-0.12
16.6037,-66.6539,-0.08,-0.12
16.6037,-66.5982,-0.07,-0.13
16.6037,-66.5425,-0.09,-0.12
16.6037,-66.4867,-0.08,-0.12
16.6037,-66.431,-0.07,-0.12
16.6037,-66.3752,-0.07,-0.13
16.6037,-66.3195,-0.05,-0.12
16.6037,-66.2638,-0.01,-0.1
16.6037,-66.208,-0.01,-0.11
16.6037,-66.1523,0.015,-0.09
16.6037,-66.0965,-0.015,-0.07
16.6037,-66.0408,0.02,-0.055
16.6037,-65.9851,0.08,-0.01
16.6037,-65.9293,0.05,-0.005
16.6037,-65.8736,0.01,0.03
16.6037,-65.8178,0.04,0.06
16.6037,-65.7621,0.13,0.11
16.6037,-65.7064,0.15,0.11
16.6037,-65.6506,0.07,0.215
16.6576,-67.49,0.015,0.0
16.6576,-67.4343,0.03,-0.02
16.6576,-67.3786,-0.01,0.01
16.6576,-67.2671,-0.04,-0.01
16.6576,-67.2113,-0.03,-0.025
16.6576,-67.1556,-0.07,-0.04
16.6576,-67.0999,-0.24,-0.04
16.6576,-67.0441,-0.1,-0.06
16.6576,-66.9884,-0.1,-0.07
16.6576,-66.9326,-0.1,-0.08
16.6576,-66.8769,-0.09,-0.09
16.6576,-66.8212,-0.08,-0.1
16.6576,-66.7654,-0.07,-0.1
16.6576,-66.7097,-0.07,-0.11499999999999999
16.6576,-66.6539,-0.06,-0.12
16.6576,-66.5982,-0.07,-0.13
16.6576,-66.5425,-0.08,-0.13
16.6576,-66.4867,-0.08,-0.12
16.6576,-66.431,-0.08,-0.12
16.6576,-66.3752,-0.07,-0.12
16.6576,-66.3195,-0.05,-0.11
16.6576,-66.2638,-0.01,-0.09
16.6576,-66.208,0.0,-0.09
16.6576,-66.1523,0.0,-0.08
16.6576,-66.0965,0.01,-0.05
16.6576,-66.0408,0.05,-0.03
16.6576,-65.9851,0.05,0.01
16.6576,-65.9293,-0.03,0.03
16.6576,-65.8736,0.01,0.06
16.6576,-65.8178,0.05,0.07
16.6576,-65.7621,0.0,0.095
16.6576,-65.7064,0.05,0.13
16.6576,-65.6506,0.08,0.18
16.7115,-67.49,-0.025,-0.01
16.7115,-67.4343,0.01,-0.01
16.7115,-67.3786,-0.02,-0.01
16.7115,-67.3228,-0.01,-0.02
16.7115,-67.2671,-0.05,-0.01
16.7115,-67.2113,-0.06,-0.01
16.7115,-67.1556,-0.09,-0.03
16.7115,-67.0999,-0.11,-0.03
16.7115,-67.0441,-0.12,-0.05
16.7115,-66.9884,-0.11,-0.07
16.7115,-66.9326,-0.08499999999999999,-0.07
16.7115,-66.8769,-0.09,-0.09
16.7115,-66.8212,-0.09,-0.1
16.7115,-66.7654,-0.08,-0.1
16.7115,-66.7097,-0.07,-0.11
16.7115,-66.6539,-0.06,-0.11
16.7115,-66.5982,-0.07,-0.12
16.7115,-66.5425,-0.08,-0.12
16.7115,-66.4867,-0.09,-0.12
16.7115,-66.431,-0.07500000000000001,-0.11
16.7115,-66.3752,-0.06,-0.1
16.7115,-66.3195,-0.06,-0.09
16.7115,-66.2638,-0.02,-0.08499999999999999
16.7115,-66.208,-0.01,-0.07
16.7115,-66.1523,-0.01,-0.05
16.7115,-66.0965,0.02,-0.03
16.7115,-66.0408,0.04,0.0
16.7115,-65.9851,-0.03,0.02
16.7115,-65.9293,0.0,0.05
16.7115,-65.8736,0.005,0.06
16.7115,-65.8178,0.03,0.08
16.7115,-65.7621,0.005,0.11
16.7115,-65.7064,0.03,0.16
16.7115,-65.6506,0.12,0.24
16.7115,-65.5949,0.17,0.27
16.7655,-67.6015,-0.02,-0.02
16.7655,-67.5458,-0.065,0.02
16.7655,-67.49,0.08,0.04
16.7655,-67.4343,-0.02,0.02
16.7655,-67.3786,-0.01,-0.01
16.7655,-67.3228,-0.04,0.0
16.7655,-67.2671,-0.08,-0.005
16.7655,-67.2113,-0.08,0.01
16.7655,-67.1556,-0.11499999999999999,-0.02
16.7655,-67.0999,-0.14,-0.02
16.7655,-67.0441,-0.12,-0.04
16.7655,-66.9884,-0.11,-0.06
16.7655,-66.9326,-0.11,-0.07
16.7655,-66.8769,-0.11,-0.08
16.7655,-66.8212,-0.1,-0.09
16.7655,-66.7654,-0.09,-0.1
16.7655,-66.7097,-0.08,-0.11
16.7655,-66.6539,-0.09,-0.11
16.7655,-66.5982,-0.08,-0.12
16.7655,-66.5425,-0.08,-0.11
16.7655,-66.4867,-0.09,-0.11
16.7655,-66.431,-0.07,-0.11
16.7655,-66.3752,-0.07,-0.09
16.7655,-66.3195,-0.07,-0.08
16.7655,-66.2638,-0.05,-0.08
16.7655,-66.208,-0.03,-0.06
16.7655,-66.1523,-0.01,-0.05
16.7655,-66.0965,0.01,-0.02
16.7655,-66.0408,-0.04,0.01
16.7655,-65.9851,-0.01,0.04
16.7655,-65.9293,0.0,0.05
16.7655,-65.8736,-0.02,0.06
16.7655,-65.8178,-0.05,0.09
16.7655,-65.7621,-0.01,0.125
16.7655,-65.7064,0.03,0.17
16.7655,-65.6506,0.125,0.265
16.7655,-65.5949,0.055,0.25
16.7655,-65.4834,0.125,0.39
16.8194,-67.5458,-0.1,0.02
16.8194,-67.49,-0.19,0.04
16.8194,-67.4343,-0.14,0.0
16.8194,-67.3786,-0.05,0.0
16.8194,-67.3228,-0.09,0.0
16.8194,-67.2671,-0.1,0.0
16.8194,-67.2113,-0.12,-0.01
16.8194,-67.1556,-0.13,-0.01
16.8194,-67.0999,-0.14500000000000002,-0.01
16.8194,-67.0441,-0.14,-0.03
16.8194,-66.9884,-0.14,-0.04
16.8194,-66.9326,-0.125,-0.06
16.8194,-66.8769,-0.13,-0.07
16.8194,-66.8212,-0.12,-0.08
16.8194,-66.7654,-0.12,-0.08
16.8194,-66.7097,-0.09,-0.1
16.8194,-66.6539,-0.095,-0.1
16.8194,-66.5982,-0.09,-0.11
16.8194,-66.5425,-0.09,-0.10500000000000001
16.8194,-66.4867,-0.09,-0.1
16.8194,-66.431,-0.08,-0.1
16.8194,-66.3752,-0.08,-0.08
16.8194,-66.3195,-0.07,-0.07
16.8194,-66.2638,-0.07,-0.07
16.8194,-66.208,-0.05,-0.07
16.8194,-66.1523,-0.04,-0.04
16.8194,-66.0965,-0.05,-0.02
16.8194,-66.0408,-0.04,0.02
16.8194,-65.9851,-0.03,0.03
16.8194,-65.9293,-0.05,0.04
16.8194,-65.8736,-0.08,0.06
16.8194,-65.8178,-0.07,0.09
16.8194,-65.7621,-0.02,0.125
16.8194,-65.7064,-0.01,0.17
16.8194,-65.6506,0.06,0.235
16.8194,-65.5949,0.07,0.27
16.8194,-65.5391,0.15500000000000003,0.36
16.8194,-65.4834,0.13,0.31
16.8734,-67.5458,-0.15500000000000003,0.055
16.8734,-67.49,0.01,-0.05
16.8734,-67.4343,-0.06,-0.03
16.8734,-67.3786,-0.13,-0.01
16.8734,-67.3228,-0.13,0.02
16.8734,-67.2671,-0.12,0.0
16.8734,-67.2113,-0.14,0.0
16.8734,-67.1556,-0.14,-0.01
16.8734,-67.0999,-0.16,-0.01
16.8734,-67.0441,-0.15,-0.03
16.8734,-66.9884,-0.15,-0.04
16.8734,-66.9326,-0.14,-0.05
16.8734,-66.8769,-0.13,-0.07
16.8734,-66.8212,-0.13,-0.08
16.8734,-66.7654,-0.12,-0.09
16.8734,-66.7097,-0.12,-0.095
16.8734,-66.6539,-0.1,-0.1
16.8734,-66.5982,-0.09,-0.1
16.8734,-66.5425,-0.09,-0.1
16.8734,-66.4867,-0.09,-0.09
16.8734,-66.431,-0.08,-0.09
16.8734,-66.3752,-0.08499999999999999,-0.07
16.8734,-66.3195,-0.09,-0.07
16.8734,-66.2638,-0.09,-0.06
16.8734,-66.208,-0.07,-0.06
16.8734,-66.1523,-0.07,-0.03
16.8734,-66.0965,-0.07,-0.01
16.8734,-66.0408,-0.07,0.01
16.8734,-65.9851,-0.08,0.03
16.8734,-65.9293,-0.09,0.05
16.8734,-65.8736,-0.1,0.06
16.8734,-65.8178,-0.09,0.1
16.8734,-65.7621,-0.03,0.11499999999999999
16.8734,-65.7064,-0.02,0.19
16.8734,-65.6506,0.03,0.23
16.8734,-65.5949,0.05,0.25
16.8734,-65.5391,0.03,0.34
16.8734,-65.4834,0.12,0.31
16.9273,-67.49,-0.095,-0.005
16.9273,-67.4343,-0.12,0.01
16.9273,-67.3786,-0.12,-0.01
16.9273,-67.3228,-0.12,0.015
16.9273,-67.2671,-0.12,0.01
16.9273,-67.2113,-0.16,0.01
16.9273,-67.1556,-0.14,0.0
16.9273,-67.0999,-0.14,-0.02
16.9273,-67.0441,-0.16,-0.03
16.9273,-66.9884,-0.16,-0.05
16.9273,-66.9326,-0.16,-0.06
16.9273,-66.8769,-0.15,-0.07500000000000001
16.9273,-66.8212,-0.14,-0.09
16.9273,-66.7654,-0.13,-0.08
16.9273,-66.7097,-0.13,-0.09
16.9273,-66.6539,-0.1,-0.09
16.9273,-66.5982,-0.09,-0.09
16.9273,-66.5425,-0.09,-0.09
16.9273,-66.4867,-0.09,-0.08
16.9273,-66.431,-0.09,-0.08
16.9273,-66.3752,-0.09,-0.07
16.9273,-66.3195,-0.11,-0.06
16.9273,-66.2638,-0.1,-0.06
16.9273,-66.208,-0.1,-0.05
16.9273,-66.1523,-0.1,-0.02
16.9273,-66.0965,-0.09,0.0
16.9273,-66.0408,-0.11,0.02
16.9273,-65.9851,-0.12,0.02
16.9273,-65.9293,-0.12,0.04
16.9273,-65.8736,-0.11,0.06
16.9273,-65.8178,-0.10500000000000001,0.07
16.9273,-65.7621,-0.06,0.125
16.9273,-65.7064,-0.04,0.18
16.9273,-65.6506,-0.01,0.215
16.9273,-65.5949,0.05,0.25
16.9273,-65.5391,0.095,0.28
16.9273,-65.4834,0.04,0.28
16.9273,-65.4277,-0.035,0.26
16.9273,-65.3719,-0.26,0.035
16.9812,-67.4343,-0.1,0.01
16.9812,-67.3786,-0.12,0.01
16.9812,-67.3228,-0.12,0.02
16.9812,-67.2671,-0.12,0.01
16.9812,-67.2113,-0.16,0.02
16.9812,-67.1556,-0.16,0.0
16.9812,-67.0999,-0.165,-0.01
16.9812,-67.0441,-0.17,-0.03
16.9812,-66.9884,-0.17,-0.06
16.9812,-66.9326,-0.17,-0.06
16.9812,-66.8769,-0.16,-0.08
16.9812,-66.8212,-0.14,-0.09
16.9812,-66.7654,-0.12,-0.09
16.9812,-66.7097,-0.12,-0.09
16.9812,-66.6539,-0.11,-0.09
16.9812,-66.5982,-0.09,-0.09
16.9812,-66.5425,-0.09,-0.09
16.9812,-66.4867,-0.1,-0.08
16.9812,-66.431,-0.1,-0.07
16.9812,-66.3752,-0.11,-0.06
16.9812,-66.3195,-0.11,-0.05
16.9812,-66.2638,-0.11,-0.05
16.9812,-66.208,-0.12,-0.04
16.9812,-66.1523,-0.13,-0.03
16.9812,-66.0965,-0.12,0.0
16.9812,-66.0408,-0.14,0.02
16.9812,-65.9851,-0.15,0.02
16.9812,-65.9293,-0.13,0.04
16.9812,-65.8736,-0.12,0.05
16.9812,-65.8178,-0.11,0.065
16.9812,-65.7621,-0.05,0.13
16.9812,-65.7064,-0.04,0.16
16.9812,-65.6506,-0.02,0.21
16.9812,-65.5949,-0.005,0.22
16.9812,-65.5391,0.01,0.22
16.9812,-65.4834,0.02,0.23
16.9812,-65.4277,-0.055,0.235
17.0352,-67.3786,-0.13,0.03
17.0352,-67.3228,-0.13,0.02
17.0352,-67.2671,-0.15,0.01
17.0352,-67.2113,-0.175,0.01
17.0352,-67.1556,-0.16,0.0
17.0352,-67.0999,-0.15,-0.01
17.0352,-67.0441,-0.17,-0.03
17.0352,-66.9884,-0.16,-0.06
17.0352,-66.9326,-0.17,-0.08
17.0352,-66.8769,-0.16,-0.08
17.0352,-66.8212,-0.15,-0.08
17.0352,-66.7654,-0.15,-0.08
17.0352,-66.7097,-0.12,-0.09
17.0352,-66.6539,-0.11,-0.09
17.0352,-66.5982,-0.11,-0.09
17.0352,-66.5425,-0.095,-0.08
17.0352,-66.4867,-0.1,-0.08
17.0352,-66.431,-0.1,-0.06
17.0352,-66.3752,-0.12,-0.05
17.0352,-66.3195,-0.12,-0.04
17.0352,-66.2638,-0.14,-0.04
17.0352,-66.208,-0.13,-0.02
17.0352,-66.1523,-0.14,-0.02
17.0352,-66.0965,-0.14500000000000002,0.0
17.0352,-66.0408,-0.16,0.02
17.0352,-65.9851,-0.15,0.02
17.0352,-65.9293,-0.15,0.04
17.0352,-65.8736,-0.12,0.06
17.0352,-65.8178,-0.09,0.07
17.0352,-65.7621,-0.07,0.13
17.0352,-65.7064,-0.07,0.15
17.0352,-65.6506,-0.02,0.22
17.0352,-65.5949,-0.03,0.19
17.0352,-65.5391,-0.06,0.18
17.0352,-65.4834,-0.03,0.17
17.0352,-65.4277,-0.19,0.1
17.0352,-65.3719,-0.37,-0.12
17.0891,-67.4343,-0.11,0.03
17.0891,-67.3228,-0.165,0.04
17.0891,-67.2671,-0.16,0.01
17.0891,-67.2113,-0.16,0.01
17.0891,-67.1556,-0.16,-0.01
17.0891,-67.0999,-0.15,-0.02
17.0891,-67.0441,-0.15,-0.03
17.0891,-66.9884,-0.17,-0.06
17.0891,-66.9326,-0.17,-0.09
17.0891,-66.8769,-0.17,-0.08
17.0891,-66.8212,-0.16,-0.08
17.0891,-66.7654,-0.15,-0.08
17.0891,-66.7097,-0.14,-0.09
17.0891,-66.6539,-0.12,-0.1
17.0891,-66.5982,-0.11,-0.1
